abri_bouliste
accueil_de_loisirs_maternel_la_varenne
association_31_rue_gambetta
ateliers_municipaux_(ctm)
base_de_canoe_kayak
bureaux_21_rue_des_sports
cdj_du_champy
cdj_du_pave_neuf
centre_aquatique_les_nymphéas
centre_horticole
cimetiere_nouveau
cinéma_le_bijou
club_ricardo_bofil
conservatoire_maurice_bacquet
creche_multi_accueil_des_farfadets
crèche_et_halte_du_marnois
crèche_familiale_du_champy_-_relais_des_assistances_maternelles
crèche_petit_prince
crèche_robert_debré
déchèterie_municipale
emaus_1_et__2
espace_michel_simon
groupe_scolaire_des_hauts_bâtons
groupe_scolaire_l'oiseau_lyre
groupe_scolaire_les_coteaux
groupe_scolaire_les_richardets
groupe_scolaire_paul_serelle
groupe_scolaire_robert_desnos
groupe_scolaire_samuel_wallis
groupe_scolaire_simone_veil_office_simone_veil_salle_polyvalente
gs_alex_dumas
gs_celestin_freinet
gs_clos_arche
gs_clos_dambert
gs_george_brassens
gs_joliot_curie
gs_jules_ferry
gs_jules_verne
gs_la_varenne
gs_les_abeilles
gs_les_charmilles
gs_les_noyers
gs_les_yvris
gs_van_gogh
gymnase_champy
gymnase_de_la_butte_verte
gymnase_du_clos_de_l'arche
gymnase_la_varenne
gymnase_les_coteaux
gymnase_les_yvris
gymnase_louison_bobet
hangar_bleu
hôtel_de_ville
local_associatif_pablo_picasso
maison_de_la_jeunesse
maison_des_associations
maison_des_services_publics_-_pimms
maison_des_syndicats
maison_medicale_du_champy
medecine_du_travail
mille_club_des_yvris
mpt_des_coteaux
mpt_du_champy
mpt_jardin_des_sources_-_annexe_maison_pour_tous
mpt_la_varenne
mpt_les_richardets
mpt_marcel_bou
multi_accueil_jean_piaget
noisy_connecte
salle_de_boxe
salle_polyvalente_stephan_hessel
stade_alain_mimoun
stade_municipal_des_bords_de_marne
stade_suzanne_lenglen
tir_a_l'arc
villa_cathala
