10.35993,8.357465,7.169017,7.196218,10.12606,7.876524,8.756417,7.552418,10.21455,7.255761,10.27646,10.19261,7.472614,10.34302,7.519932
21.83765957,20.25009252,20.71581864,19.31686446,19.7576699,18.93450914,19.40599028,20.12423796,20.51692501,21.34395244,19.68148541,20.05984273,21.75471622,19.37729576,18.95183477
8.529815,9.68906,8.693675,6.337509,9.190386,8.654153,9.148539,5.744122,9.493789,6.138613,8.942436,5.501478,8.222181,5.90274,5.921762
716.1563396,644.5401526,715.7238209,846.2422261,899.0652759,914.4607584,1042.216453,508.6821356,485.3601586,472.222086,inf,inf,inf,inf,inf
12.9103,12.08623,12.12389,8.028233,10.29882,13.50869,9.482455,12.62394,11.09397,12.66198,10.81454,10.85041,12.37045,10.57579,9.759724
3.492272029,3.768301333,3.325476745,2.996670133,2.869570101,1.986077443,3.63236235,3.340537352,2.648150422,2.502015442,3.837954803,3.468649542,2.586833332,3.68196855,2.454511274
36.45797434,28.66627891,26.12716058,33.96544737,32.55925002,35.32568504,29.06189243,33.6875761,29.77661628,27.23070577,24.55324025,30.97094401,28.27755727,22.14311672,36.63878162
28.6125212,25.84497501,20.43535234,28.12467139,21.26651095,23.45238406,24.59997101,27.35301219,25.06721805,23.83410527,25.00381747,29.40011652,21.61014423,23.79453793,24.68736629
2726.221864,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
52.85243413,53.7176155,53.25873029,49.94095463,51.91907304,49.5053831,48.46994095,52.40116459,50.6633735,54.77360139,50.23389025,51.37057934,49.20109252,50.92897599,48.79091561
9.513992129,7.856078333,4.981816482,6.64243077,5.72259722,8.433150895,9.39592916,8.549821976,6.753071742,5.833281793,8.557438669,8.816713121,7.626176527,5.859952802,10.64836052
425.3125702,423.8967541,237.3939634,420.3442478,236.5983089,234.1605916,233.1352513,inf,inf,inf,inf,inf,inf,inf,inf
62.71135815,61.34578001,62.79501938,62.27186956,63.6772122,63.7350085,63.69637715,inf,inf,inf,inf,inf,inf,inf,inf
266.3391791,229.0449233,257.3591576,255.2512144,248.1742609,249.3537689,253.9937004,257.2639183,240.9521405,239.5443101,inf,inf,inf,inf,inf
28.37213,26.3102,27.38028,27.18558,27.03111,29.29937,28.01361,28.18691,29.37744,inf,inf,inf,inf,inf,inf
121.64888,61.39822,99.72447,136.62232,131.19834,130.1141,78.87025,113.9315,92.24638,100.27478,inf,inf,inf,inf,inf
48.68756963,45.20038402,48.77830302,41.7522049,51.00747699,47.38420986,39.64230647,36.27014051,36.1654844,39.5481286,inf,inf,inf,inf,inf
213.20438,207.82919,201.43785,192.54339,202.7766,197.73243,197.33218,inf,inf,inf,inf,inf,inf,inf,inf
142.656587,107.1848668,129.0612114,141.8368851,151.400092,120.7723273,120.056707,133.3003049,107.96,159.880088,inf,inf,inf,inf,inf
