9352.936,49690.17,62094.12,65558.17,34850.99447,59946.41,50441.98,36596.06,19609.17,46852.3,24595,27243.13,51837.89,28059,55301.94
11619.20378,134903.2081,105633.5687,207102.1124,177832.473,241467.9056,212198.2662,89366.68342,77747.47964,40888.84317,118636.3228,107017.119,29269.6394,189451.6768,218721.3162
28323.4,98581.59,142463.5,227841.3,138728.1,160979.2,182116.3,74048.48,45725.09,113701.2,67976.15,167051.5,121326.4,188188.6,206704.3
1071751.17,1451545.14,1284950.02,943146.14,1098023.89,736773.99,31415,1981177.1,1635030.88,1995557.46,inf,inf,inf,inf,inf
7118.879,18069.72,18803.62,28031.7,23789.47,17085.31,25541.14,10348,12838.63,11082,16067.81,16802,14840.54,20560.28,22311.96
6953.942955,14646.32354,20847.50665,25691.12676,29849.17032,43496.537,18804.36711,11111.98652,17998.74617,22156.78973,11044.80321,16689.46309,27734.2663,15202.84677,31892.30987
25482.83039,116897.8132,141841.5168,74831.111,91954.10951,67010.40584,126335.8985,50426.53406,75370.23772,100313.9414,141626.9506,91739.54325,116683.2469,166570.6543,49887.40733
26123.48948,101401.1436,155840.1609,86278.83462,148933.1513,133810.8423,124983.6035,49705.94935,64828.25835,88410.71822,93552.93221,62696.37475,132257.7011,117135.3921,110228.3824
358316.0643,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
31936.20645,43254.39063,59538.39651,140519.3084,95808.61936,156803.3143,183773.699,48220.21234,76646.89549,16284.00588,92930.90138,75190.59708,119901.2861,91474.60297,136185.292
7940.604814,22441.97117,39589.53852,31060.60481,37166.56804,20898.50481,14760.60481,14078.57983,24244.60096,30382.57598,17147.56735,16303.99615,23285.54237,33451.56349,6137.975021
70531.9,77667.7,159750,148199.6,158698.1,164939.57,235081.83,inf,inf,inf,inf,inf,inf,inf,inf
38503.60591,169732.8639,131229.258,246740.0757,115510.8177,208236.4698,223637.9121,inf,inf,inf,inf,inf,inf,inf,inf
6776.8,417436.14,84817.635,533139.42,654307.47,28304.6,301650,91594.435,117069.53,745901.905,inf,inf,inf,inf,inf
17569.17,96216.36,78647.19,120813.2,365610.3,42166.01,390207.1,348041.1,286963.1,inf,inf,inf,inf,inf,inf
53206.98,721396.2,259016.3,262199,321790,149050,312223.2,315264,519139.2,462380,inf,inf,inf,inf,inf
64569,102601,52971,77786.77422,44686.01923,94316,86071,135702,147300,97670,inf,inf,inf,inf,inf
190957,252737,11056.42073,443694,201477,263151,454103,inf,inf,inf,inf,inf,inf,inf,inf
103794.69,501665.81,164610.35,342136.93,58702.91,209702.13,448044.37,493136.15,9273.173772,218730.71,inf,inf,inf,inf,inf
6735.656833,18537.45427,29536.93652,27165.05866,31306.04021,16165.5764,20306.55795,10876.63839,17735.13909,21876.12065,10999.48226,14396.47271,15140.46381,25395.95497,4140.981556
29519.25547,197064.6233,191168.1754,85078.87634,70846.21314,215807.0077,229094.3179,61548.95009,114598.1318,74059.6044,146627.8264,159138.4807,106089.299,111985.747,155925.0895
140166.2062,3785063.07,51088,903873.51,1734957.675,2129266.237,85362.86,917500,1095127.716,1167631.06,inf,inf,inf,inf,inf
244162,312265.86,517000,353350,35916.92052,1073428,573223.7845,1092664.51,1439943.47,inf,inf,inf,inf,inf,inf
182108.7,1938960.808,437060.8,1416061,649628.8,29575.2,212568,979000,24981.44208,522900,394676.7,424251.9,544273.8,inf,inf
818360.552,803860.552,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
573049.868,516032.268,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
110906.3,1149994.798,185480.88,542208.7,303050,296387,564993.1798,307702,838596,848130,inf,inf,inf,inf,inf
117613.0575,1396879.8,282271.338,26071.4,574997.17,388650,141536.92,692610,714709.43,1101797.03,inf,inf,inf,inf,inf
1671724.913,103932.1125,508112.55,398750,660930.25,764862.3625,612044.6625,1010794.662,1272974.913,inf,inf,inf,inf,inf,inf
94290.4,920754.9,100120.6125,489478.55,33329.3,226300,589599.1625,605593.84,697378.82,824568.95,inf,inf,inf,inf,inf
198187.5375,1743504,475650.09,968916.85,576400,1167104.387,774587.5375,1545316.85,1444566.94,1052050.09,inf,inf,inf,inf,inf
266245.38,684264.21,182773.8,143352,24731.48,665613.45,354150,592371.18,1257984.63,605765.58,inf,inf,inf,inf,inf
439955.145,1744077.188,177234.18,79350,1099887.863,667250,617189.325,1717077.188,646264,1305939.325,inf,inf,inf,inf,inf
564869.619,2857616.19,272337.6,1412174.048,48961.7,579250,1977043.667,2015017.97,2556293.666,2586919.11,inf,inf,inf,inf,inf
461835,2331334.4,940775,506550,422174.4,1402610,1362949.4,884009.4,1824784.4,1390559.4,inf,inf,inf,inf,inf
647983.7055,2379947.37,82428,1619959.264,700150,68502.2,730411.7055,771075.57,2350370.969,1430561.705,inf,inf,inf,inf,inf
138818.115,1667885.796,333163.476,288505.98,678666.34,832908.69,356550,29979.5,637307.02,1314835.796,inf,inf,inf,inf,inf
81304.2,736091.4,195130.08,397487.2,257300,478791.4,338604.2,654787.2,452430.08,592617.28,inf,inf,inf,inf,inf
423484.2,1799636.88,176451.75,744933.625,862653,48939,581750,921385.375,939511.62,1784038.375,inf,inf,inf,inf,inf
355978.8,1691225.8,148324.5,46728.5,889947,445300,1038271.5,179144.9192,925477.26,1269626.46,inf,inf,inf,inf,inf
228505.05,1313775.26,602239.875,226725.6,465473.25,33329.3,351300,1057470.525,1296218.175,852860.86,inf,inf,inf,inf,inf
93524.16,916841.42,224457.984,420858.72,257550,20481,645316.704,244386.56,272250.12,496758.32,inf,inf,inf,inf,inf
1337600,1641600,38515.46594,110750,1364168.78,139031.84,1448350,1474918.78,inf,inf,inf,inf,inf,inf,inf
463805,569215.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
204036.44,837193.7,573673.245,590631.8,9376.8,238050,794668.24,1164305.045,582709.66,246673.5,inf,inf,inf,inf,inf
